x,y
0,0.43597
0.008,0.43206
0.016,0.42815
0.024,0.42424
0.032,0.42131
0.04,0.41838
0.048,0.4174
0.056,0.41642
0.064,0.41544
0.072,0.41447
0.08,0.41251
0.088,0.41153
0.096,0.40958
0.104,0.40762
0.112,0.40665
0.12,0.40665
0.128,0.40665
0.136,0.40762
0.144,0.4086
0.152,0.4086
0.16,0.41056
0.168,0.41153
0.176,0.41153
0.184,0.41056
0.192,0.4086
0.2,0.40665
0.208,0.40469
0.216,0.40469
0.224,0.40567
0.232,0.4086
0.24,0.41251
0.248,0.42033
0.256,0.43206
0.264,0.45259
0.272,0.4741
0.28,0.4956
0.288,0.51808
0.296,0.5347
0.304,0.55034
0.312,0.56403
0.32,0.57576
0.328,0.58456
0.336,0.59238
0.344,0.59629
0.352,0.59922
0.36,0.60117
0.368,0.60215
0.376,0.60313
0.384,0.60313
0.392,0.60117
0.4,0.59824
0.408,0.59335
0.416,0.58553
0.424,0.57771
0.432,0.57185
0.44,0.56207
0.448,0.54741
0.456,0.53372
0.464,0.52102
0.472,0.50929
0.48,0.50244
0.488,0.49756
0.496,0.4956
0.504,0.49462
0.512,0.49365
0.52,0.49365
0.528,0.49365
0.536,0.49169
0.544,0.48876
0.552,0.4868
0.56,0.48387
0.568,0.48094
0.576,0.47801
0.584,0.47507
0.592,0.47116
0.6,0.46823
0.608,0.46334
0.616,0.45846
0.624,0.45357
0.632,0.44868
0.64,0.44379
0.648,0.43891
0.656,0.435
0.664,0.43109
0.672,0.4262
0.68,0.42326
0.688,0.42033
0.696,0.41838
0.704,0.41642
0.712,0.41447
0.72,0.41447
0.728,0.41349
0.736,0.41251
0.744,0.41251
0.752,0.41251
0.76,0.41251
0.768,0.41251
0.776,0.41349
0.784,0.41544
0.792,0.4174
0.8,0.41935
0.808,0.42033
0.816,0.42131
0.824,0.42131
0.832,0.42033
0.84,0.41935
0.848,0.41642
0.856,0.41447
0.864,0.41349
0.872,0.41349
0.88,0.41642
0.888,0.42131
0.896,0.42815
0.904,0.43695
0.912,0.45064
0.92,0.46823
0.928,0.4868
0.936,0.50538
0.944,0.52395
0.952,0.54154
0.96,0.55816
0.968,0.57185
0.976,0.58162
0.984,0.58749
0.992,0.59042
1,0.59042
1.008,0.5914
1.016,0.59042
1.024,0.58944
1.032,0.58651
1.04,0.5826
1.048,0.57771
1.056,0.57087
1.064,0.56305
1.072,0.5523
1.08,0.54057
1.088,0.52884
1.096,0.51711
1.104,0.50733
1.112,0.49756
1.12,0.48778
1.128,0.47996
1.136,0.4741
1.144,0.47019
1.152,0.46823
1.16,0.46725
1.168,0.46628
1.176,0.46432
1.184,0.46041
1.192,0.4565
1.2,0.45259
1.208,0.4477
1.216,0.44379
1.224,0.43891
1.232,0.43304
1.24,0.43011
1.248,0.42717
1.256,0.42522
1.264,0.42229
1.272,0.41935
1.28,0.4174
1.288,0.41544
1.296,0.41349
1.304,0.41251
1.312,0.41153
1.32,0.41153
1.328,0.41153
1.336,0.41251
1.344,0.41349
1.352,0.41349
1.36,0.41447
1.368,0.41544
1.376,0.41642
1.384,0.41642
1.392,0.4174
1.4,0.4174
1.408,0.41838
1.416,0.41838
1.424,0.41838
1.432,0.41935
1.44,0.42033
1.448,0.42033
1.456,0.42131
1.464,0.42033
1.472,0.41838
1.48,0.41642
1.488,0.41544
1.496,0.41349
1.504,0.41153
1.512,0.41056
1.52,0.41153
1.528,0.41447
1.536,0.41935
1.544,0.42717
1.552,0.43891
1.56,0.45357
1.568,0.47214
1.576,0.48974
1.584,0.50831
1.592,0.52395
1.6,0.53666
1.608,0.54839
1.616,0.55914
1.624,0.56794
1.632,0.5738
1.64,0.57771
1.648,0.57967
1.656,0.57967
1.664,0.57869
1.672,0.57674
1.68,0.5738
1.688,0.56989
1.696,0.56403
1.704,0.55523
1.712,0.54448
1.72,0.53275
1.728,0.52102
1.736,0.50929
1.744,0.49951
1.752,0.49169
1.76,0.48583
1.768,0.47996
1.776,0.4741
1.784,0.46921
1.792,0.4653
1.8,0.46237
1.808,0.46041
1.816,0.45748
1.824,0.45455
1.832,0.45064
1.84,0.44575
1.848,0.44086
1.856,0.43695
1.864,0.43206
1.872,0.42815
1.88,0.42522
1.888,0.42326
1.896,0.42131
1.904,0.41935
1.912,0.4174
1.92,0.41544
1.928,0.41349
1.936,0.41251
1.944,0.41056
1.952,0.40958
1.96,0.4086
1.968,0.40762
1.976,0.40762
1.984,0.40762
1.992,0.40762
2,0.40762
2.008,0.4086
2.016,0.4086
2.024,0.40762
2.032,0.40762
2.04,0.40762
2.048,0.4086
2.056,0.4086
2.064,0.41056
2.072,0.41153
2.08,0.41153
2.088,0.41251
2.096,0.41251
2.104,0.41056
2.112,0.4086
2.12,0.40665
2.128,0.40469
2.136,0.40469
2.144,0.40567
2.152,0.4086
2.16,0.41447
2.168,0.42424
2.176,0.43793
2.184,0.4565
2.192,0.47507
2.2,0.49267
2.208,0.51222
2.216,0.53079
2.224,0.54936
2.232,0.565
2.24,0.57869
2.248,0.58944
2.256,0.59824
2.264,0.60411
2.272,0.60802
2.28,0.60997
2.288,0.60997
2.296,0.60997
2.304,0.60899
2.312,0.60899
2.32,0.60606
2.328,0.60117
2.336,0.59433
2.344,0.58456
2.352,0.57478
2.36,0.56305
2.368,0.55132
2.376,0.53959
2.384,0.52884
2.392,0.52102
2.4,0.5132
2.408,0.50635
2.416,0.50244
2.424,0.49853
2.432,0.49658
2.44,0.49462
2.448,0.49169
2.456,0.48876
2.464,0.48583
2.472,0.48094
2.48,0.47605
2.488,0.47214
2.496,0.46823
2.504,0.4653
2.512,0.46237
2.52,0.46041
2.528,0.45846
2.536,0.4565
2.544,0.45357
2.552,0.44966
2.56,0.44575
2.568,0.44184
2.576,0.43793
2.584,0.43304
2.592,0.42913
2.6,0.42424
2.608,0.41838
2.616,0.41447
2.624,0.41153
2.632,0.40958
2.64,0.4086
2.648,0.40958
2.656,0.40958
2.664,0.40958
